Year,Victoria,Albert,Kyoga,ED/GE,Wamala,AL.NILE,OTHERS
1961,2550,1180,680,1250,100,0,180
1962,2340,1220,1320,1210,200,0,360
1963,2440,1250,1700,1200,210,0,390
1964,2440,1020,1850,1020,210,0,520
1965,2440,1240,1840,1260,210,0,160
1966,2800,1360,1990,1090,480,0,420
1967,3820,1320,2630,1290,660,0,190
1968,4050,1350,3250,1300,710,0,330
1969,4630,1040,4890,1180,560,0,430
1970,4170,2420,6210,1050,530,0,390
1971,3810,950,8970,1170,520,420,390
1972,3390,1050,9510,1230,410,430,400
1973,3250,1300,10050,1100,430,420,400
1974,2450,1350,10500,1050,650,400,350
1975,1690,1870,10420,1320,630,710,680
1976,1110,1230,14580,1250,430,450,210
1977,1570,2060,16700,1200,110,180,130
1978,1420,2060,16700,1180,180,570,110
1979,1200,1700,13300,960,200,450,180
1980,1000,1300,13100,700,100,320,70
1981,1700,600,13000,500,380,300,300
1982,1300,1000,13800,690,50,100,60
1983,1700,600,13800,600,50,400,60
1984,4480,600,13700,650,50,390,50
1985,5460,230,10270,600,30,180,340
1986,5680,490,12800,630,50,220,420
1987,9320,890,5770,620,50,110,24
1988,10710,1250,8675,590,40,60,100
1989,13240,1390,5471,560,110,190,400
1990,11994,1948,9492,550,0,141,397
1991,11804,2053,5845,1093,0,528,634
1992,12040,1870,6300,1060,0,880,260
1993,11150,1755,7150,1070,0,680,630
1994,10304,1640,8020,1080,0,480,370
1995,10300,1600,9000,900,0,500,400
1996,10600,2200,8100,500,0,40,400
1997,10600,1900,8000,600,0,340,400
1998,10520,1910,8020,560,0,350,350
1999,10420,2906,8112,743,0,350,420
2000,13340,1938,5589,522,561,0,0
2001,13180,1960,5842,640,450,0,0
2002,13611,1938,5558,522,560,0,0
2003,17530,1946,3289,586,0,0,827
2004,25325,5644,6845,960,640,503,3558
2005,25325,5644,6845,960,640,503,1758
2006,21593,5644,6000,880,600,500,1500
2007,23056,5650,6000,800,600,500,1800
2008,21950,5650,6000,880,600,500,1500
2009,22130,5650,6000,880,600,500,1500
2010,22040,5600,6000,880,600,500,1500
